time,bpFront,bpBack
13771,29440,38400
13871,22528,22528
13971,27904,24320
14071,30208,32000
14171,36096,28672
14271,20224,29696
14371,26624,37120
14471,18176,23808
14571,19712,41984
14671,25344,32256
14771,22528,32768
14871,34816,38656
14971,29184,32256
15071,39680,39936
15171,41984,49664
15271,44032,44544
15371,43264,44800
37,41984,35840
137,40704,35072
237,34304,21248
337,28672,23296
437,29440,24832
537,36864,26624
637,39936,35328
737,55040,48384
837,36864,47616
937,51456,48384
1037,46592,44544
1137,51456,45056
1237,58368,41728
1337,48384,48640
1437,41216,36352
1537,31744,45056
